"gen" "GBMLGG" "BRCA" "KIPAN" "COADREAD" "STES" "GBM" "OV" "UCEC" "KIRC" "HNSC" "LUAD" "LGG" "LUSC" "THCA"
"160" "BAI3" "0.002" "0.011" "0.005" "0.035" "0.094" "0.002" "0.014" "0.038" "0.006" "0.027" "0.057" "0.002" "0.052" "0.004"
"161" "BRCA2" "0.006" "0.015" "0.015" "0.021" "0.065" "0.008" "0.019" "0.046" "0.015" "0.023" "0.023" "0.004" "0.032" "0.006"
"162" "MUC17" "0.036" "0.036" "0.026" "0.03" "0.11" "0.05" "0.032" "0.06" "0.02" "0.074" "0.119" "0.019" "0.083" "0.016"
"163" "USP9X" "0.006" "0.018" "0.014" "0.019" "0.049" "0.005" "0.002" "0.057" "0.011" "0.028" "0.021" "0.008" "0.018" "0.01"
"164" "ANK3" "0.007" "0.021" "0.024" "0.032" "0.1" "0.007" "0.012" "0.064" "0.024" "0.023" "0.038" "0.008" "0.032" "0.004"
"165" "SI" "0.008" "0.017" "0.01" "0.017" "0.076" "0.008" "0.017" "0.049" "0.011" "0.068" "0.082" "0.008" "0.071" "0.002"
"166" "OTOGL" "0.001" "0.019" "0.003" "0" "0.013" "0" "0" "0.046" "0" "0" "0" "0.002" "0" "0"
"167" "UTRN" "0.007" "0.025" "0.009" "0.032" "0.075" "0.007" "0.007" "0.053" "0.011" "0.027" "0.033" "0.008" "0.032" "0.002"
"168" "F5" "0.012" "0.018" "0.01" "0.022" "0.037" "0.015" "0.005" "0.038" "0.009" "0.025" "0.042" "0.008" "0.04" "0"
"169" "PDE4DIP" "0.005" "0.019" "0.022" "0.024" "0.084" "0.01" "0.014" "0.042" "0.026" "0.028" "0.042" "0" "0.06" "0.006"
"170" "HERC1" "0.007" "0.023" "0.019" "0.017" "0.073" "0.007" "0.01" "0.062" "0.019" "0.028" "0.019" "0.008" "0.026" "0.002"
