"markers","BRCA","COAD","COADREAD","GBMLGG","KIPAN","KIRC","KIRP","LGG","LUAD","LUSC","OV","READ","UCEC"
"RCP9",NA,0.000971497467582516,0.001570556011529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RDH12",NA,0.000557643802266639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNF24",NA,0.000869323098564245,0.000762630252192475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RSBN1L",NA,0.00166009615124807,0.00113258970977781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RUNX1",NA,0.00011957928406392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAP30BP",NA,0.00152776203336502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SCARB2",NA,0.00141958545677801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SECTM1",NA,0.00064637556170688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SETD4",NA,0.00160735605939399,NA,NA,0.000493639496186082,0.00122445483002831,NA,NA,NA,NA,NA,NA,NA
"SEZ6",NA,0.000503602848604068,0.00106241942433516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SIRPB1",NA,0.000637434914676493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SLC45A1",NA,0.0010124988037078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SLCO6A1",NA,0.00204521436841565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SMURF1",NA,0.00069870415868345,0.000429361287242136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SNIP1",NA,0.00152680745103118,NA,0.00292408382080456,NA,NA,NA,0.00292408382080456,NA,NA,NA,NA,NA
"SSBP1",NA,5.53235742695168e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STRA6",NA,0.000163637547508144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TEAD2",NA,0.00213125797511637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TINP1",NA,0.000160437568575755,0.000109426120163736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TMEPAI",NA,0.000513773896677394,0.000398977188596605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TNFRSF11B",NA,0.00149037345025371,NA,NA,NA,NA,NA,NA,0.00343548385309533,NA,NA,NA,NA
"TOM1L1",NA,0.00191448655314819,0.00263186789207492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TRIP6",NA,0.00125779242301605,0.000298774794766699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TTYH2",NA,0.000822781316844101,0.00343467286084809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TUSC5",NA,0.00191325371820772,0.000548740329608499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UAP1",NA,0.000112163878566385,0.00024912809760258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VTA1",NA,0.000873217607894605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZNF225",NA,0.000855988526622942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABCG2",NA,NA,0.00346987230317375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADAMTS6",NA,NA,0.00155856559318546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADCY9",NA,NA,0.00298295432491769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARV1",NA,NA,0.000448102886821067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP6V1F",NA,NA,0.00148228419757757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BCDIN3D",NA,NA,0.0023008581517503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BMP8A",NA,NA,0.00158339967174903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C1orf182",NA,NA,0.00150521737555276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C20orf7",NA,NA,0.00139278730009473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C7orf26",NA,NA,0.00200703034901961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COL27A1",NA,NA,0.000500863616503922,NA,NA,NA,NA,NA,NA,0.000448262489889384,NA,NA,NA
"CST2",NA,NA,0.00070870580761484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DDX21",NA,NA,0.00257720639437331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DHX37",NA,NA,0.00207426162019397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DPY19L2P1",NA,NA,0.0032230417877972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DUSP28",NA,NA,0.0018349087425491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FAM130A1",NA,NA,5.30557613452887e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FBXO44",NA,NA,0.000609718231260659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GGH",NA,NA,0.00114505224108885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GH1",NA,NA,0.000467964507008034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GP1BA",NA,NA,0.00300143105392758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GSG1",NA,NA,0.0033448022057545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GTF2H5",NA,NA,0.00138160608645843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GTF2I",NA,NA,0.00292209181489,NA,NA,NA,NA,NA,NA,NA,NA,0.0143058784354296,NA
"HIBADH",NA,NA,0.00109403684295184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KCNJ3",NA,NA,0.00292517039472451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KCTD5",NA,NA,0.00318749828098597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LGMN",NA,NA,0.0024581876619103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIMK1",NA,NA,0.00232463793901616,NA,NA,NA,0.00815097159350264,NA,NA,NA,NA,NA,NA
"LOC126520",NA,NA,0.00269159553681808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MANBAL",NA,NA,0.00341679301335207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARCH5",NA,NA,0.00324992205705565,NA,NA,NA,NA,NA,NA,NA,NA,0.0105555402947765,NA
"MEA1",NA,NA,0.0024384876433442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MGC13008",NA,NA,0.000770888081399801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NFATC2",NA,NA,0.0015836586621476,NA,NA,NA,NA,NA,NA,NA,NA,0.00229023406464413,NA
"NIT2",NA,NA,0.000769047811040258,NA,NA,NA,NA,NA,NA,NA,NA,0.0105555402947765,NA
"NPEPL1",NA,NA,0.000753115905364199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR6A2",NA,NA,0.00321763759957916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PANX2",NA,NA,0.000899326657478272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLOD1",NA,NA,0.00319111985733134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLSCR3",NA,NA,0.00207466208761564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PRKAG3",NA,NA,0.000865337582761527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PRKCI",NA,NA,0.00113350335031459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PRPF38A",NA,NA,0.00137107423557015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PTK2B",NA,NA,0.00287372749039982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RFXDC2",NA,NA,0.000455548003058692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RHOD",NA,NA,0.00103168230665773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNF141",NA,NA,0.0026502467653986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SLC22A16",NA,NA,0.00175306670847808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SMOX",NA,NA,0.00192649958652091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SMUG1",NA,NA,0.000652348790403767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
